id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
weka.classifiers.functions.MultilayerPerceptron$NeuralEnd-calls-weka.core.RevisionUtils,CALLS,weka.classifiers.functions.MultilayerPerceptron$NeuralEnd,weka.core.RevisionUtils,{},compile_time,1,
weka.classifiers.bayes.net.GUI$ActionCopyNode-calls-weka.classifiers.bayes.net.GUI$Selection,CALLS,weka.classifiers.bayes.net.GUI$ActionCopyNode,weka.classifiers.bayes.net.GUI$Selection,{},compile_time,1,
weka.classifiers.bayes.net.search.global.HillClimber-calls-weka.classifiers.bayes.BayesNet,CALLS,weka.classifiers.bayes.net.search.global.HillClimber,weka.classifiers.bayes.BayesNet,{},compile_time,1,
weka.knowledgeflow.steps.Associator-calls-weka.knowledgeflow.steps.BaseStep,CALLS,weka.knowledgeflow.steps.Associator,weka.knowledgeflow.steps.BaseStep,{},compile_time,1,
weka.classifiers.bayes.net.search.fixed.FromFile-calls-weka.core.RevisionUtils,CALLS,weka.classifiers.bayes.net.search.fixed.FromFile,weka.core.RevisionUtils,{},compile_time,1,
weka.gui.explorer.Explorer-calls-weka.gui.explorer.Explorer$CapabilitiesFilterChangeListener,CALLS,weka.gui.explorer.Explorer,weka.gui.explorer.Explorer$CapabilitiesFilterChangeListener,{},compile_time,1,
weka.gui.explorer.PreprocessPanel-calls-weka.gui.explorer.DataGeneratorPanel,CALLS,weka.gui.explorer.PreprocessPanel,weka.gui.explorer.DataGeneratorPanel,{},compile_time,1,
weka.classifiers.evaluation.output.prediction.Null-calls-weka.classifiers.evaluation.output.prediction.AbstractOutput,CALLS,weka.classifiers.evaluation.output.prediction.Null,weka.classifiers.evaluation.output.prediction.AbstractOutput,{},compile_time,1,
weka.classifiers.trees.lmt.LogisticBase-calls-weka.core.Instance,CALLS,weka.classifiers.trees.lmt.LogisticBase,weka.core.Instance,{},compile_time,1,
weka.experiment.ResultMatrixGnuPlot-calls-weka.core.Utils,CALLS,weka.experiment.ResultMatrixGnuPlot,weka.core.Utils,{},compile_time,1,
weka.filters.unsupervised.instance.NonSparseToSparse-calls-weka.core.RevisionUtils,CALLS,weka.filters.unsupervised.instance.NonSparseToSparse,weka.core.RevisionUtils,{},compile_time,1,
weka.core.neighboursearch.NearestNeighbourSearch-calls-weka.core.OptionHandler,CALLS,weka.core.neighboursearch.NearestNeighbourSearch,weka.core.OptionHandler,{},compile_time,1,
weka.classifiers.lazy.KStar-calls-weka.core.Instance,CALLS,weka.classifiers.lazy.KStar,weka.core.Instance,{},compile_time,1,
weka.classifiers.bayes.net.GUI$ActionAlignLeft-calls-weka.classifiers.bayes.net.GUI$Selection,CALLS,weka.classifiers.bayes.net.GUI$ActionAlignLeft,weka.classifiers.bayes.net.GUI$Selection,{},compile_time,1,
weka.classifiers.bayes.net.EditableBayesNet$AddNodeAction-calls-weka.classifiers.bayes.BayesNet,CALLS,weka.classifiers.bayes.net.EditableBayesNet$AddNodeAction,weka.classifiers.bayes.BayesNet,{},compile_time,1,
weka.gui.explorer.ClassifierPanel-calls-weka.core.Instances,CALLS,weka.gui.explorer.ClassifierPanel,weka.core.Instances,{},compile_time,2,
weka.classifiers.evaluation.Evaluation-calls-weka.classifiers.evaluation.IntervalBasedEvaluationMetric,CALLS,weka.classifiers.evaluation.Evaluation,weka.classifiers.evaluation.IntervalBasedEvaluationMetric,{},compile_time,1,
weka.gui.visualize.PlotData2D-calls-weka.core.Instance,CALLS,weka.gui.visualize.PlotData2D,weka.core.Instance,{},compile_time,1,
weka.classifiers.bayes.net.EditableBayesNet$spaceVerticalAction-calls-weka.classifiers.bayes.net.EditableBayesNet$alignAction,CALLS,weka.classifiers.bayes.net.EditableBayesNet$spaceVerticalAction,weka.classifiers.bayes.net.EditableBayesNet$alignAction,{},compile_time,1,
weka.core.tokenizers.WordTokenizer-calls-weka.core.RevisionUtils,CALLS,weka.core.tokenizers.WordTokenizer,weka.core.RevisionUtils,{},compile_time,1,
weka.gui.beans.SubstringLabeler-calls-weka.core.Environment,CALLS,weka.gui.beans.SubstringLabeler,weka.core.Environment,{},compile_time,1,
weka.classifiers.bayes.net.BayesNetGenerator-calls-weka.core.Option,CALLS,weka.classifiers.bayes.net.BayesNetGenerator,weka.core.Option,{},compile_time,1,
weka.core.Settings-calls-weka.knowledgeflow.LoggingLevel,CALLS,weka.core.Settings,weka.knowledgeflow.LoggingLevel,{},compile_time,1,
weka.classifiers.functions.Logistic$OptEngCG-calls-weka.core.RevisionUtils,CALLS,weka.classifiers.functions.Logistic$OptEngCG,weka.core.RevisionUtils,{},compile_time,1,
weka.filters.unsupervised.instance.RemoveWithValues-calls-weka.filters.Filter,CALLS,weka.filters.unsupervised.instance.RemoveWithValues,weka.filters.Filter,{},compile_time,3,
weka.core.scripting.Jython-calls-weka.core.RevisionUtils,CALLS,weka.core.scripting.Jython,weka.core.RevisionUtils,{},compile_time,1,
weka.classifiers.functions.SGDText-calls-weka.core.Attribute,CALLS,weka.classifiers.functions.SGDText,weka.core.Attribute,{},compile_time,1,
weka.gui.scripting.FileScriptingPanel$CommandlineArgsAction-calls-weka.gui.scripting.FileScriptingPanel$BasicAction,CALLS,weka.gui.scripting.FileScriptingPanel$CommandlineArgsAction,weka.gui.scripting.FileScriptingPanel$BasicAction,{},compile_time,1,
weka.gui.beans.KnowledgeFlowApp$BeanIconRenderer-calls-weka.gui.beans.KnowledgeFlowApp$JTreeLeafDetails,CALLS,weka.gui.beans.KnowledgeFlowApp$BeanIconRenderer,weka.gui.beans.KnowledgeFlowApp$JTreeLeafDetails,{},compile_time,1,
weka.gui.beans.Classifier-calls-weka.gui.beans.IncrementalClassifierEvent,CALLS,weka.gui.beans.Classifier,weka.gui.beans.IncrementalClassifierEvent,{},compile_time,1,
weka.filters.unsupervised.attribute.Obfuscate-calls-weka.core.Copyable,CALLS,weka.filters.unsupervised.attribute.Obfuscate,weka.core.Copyable,{},compile_time,1,
weka.knowledgeflow.steps.Loader-calls-weka.core.converters.Loader,CALLS,weka.knowledgeflow.steps.Loader,weka.core.converters.Loader,{},compile_time,1,
weka.gui.beans.TrainingSetMaker-calls-weka.gui.beans.EventConstraints,CALLS,weka.gui.beans.TrainingSetMaker,weka.gui.beans.EventConstraints,{},compile_time,1,
weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-calls-weka.core.Instance,CALLS,weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant,weka.core.Instance,{},compile_time,9,
